"car","timestamp","location","buttonId","state","total","action"
"Car 1","16/5/2025 T=11:15:26","3.嘉業街",1,"ON",18,
"Car 1","16/5/2025 T=11:15:26","3.嘉業街",2,"ON",19,
"Car 1","16/5/2025 T=11:15:27","3.嘉業街",3,"OFF",18,
"Car 1","16/5/2025 T=11:15:27","3.嘉業街",4,"OFF",17,
"Car 1","16/5/2025 T=11:15:28","3.嘉業街",2,"OFF",16,
"Car 1","16/5/2025 T=11:15:28","3.嘉業街",1,"OFF",15,
"Car 1","16/5/2025 T=11:15:29","3.嘉業街",6,"OFF",14,
"Car 1","16/5/2025 T=11:15:29","3.嘉業街",7,"OFF",13,
"Car 1","16/5/2025 T=11:15:30","3.嘉業街",10,"OFF",12,
"Car 1","16/5/2025 T=11:15:30","3.嘉業街",9,"OFF",11,
"Car 1","16/5/2025 T=11:15:30","3.嘉業街",8,"OFF",10,
"Car 1","16/5/2025 T=11:15:31","3.嘉業街",5,"OFF",9,
"Car 1","16/5/2025 T=11:15:33","4.新業街",1,"ON",10,
"Car 1","16/5/2025 T=11:15:34","4.新業街",2,"ON",11,
"Car 1","16/5/2025 T=11:15:34","4.新業街",4,"ON",12,
"Car 1","16/5/2025 T=11:15:35","4.新業街",7,"ON",13,
"Car 1","16/5/2025 T=11:15:35","4.新業街",9,"ON",14,
"Car 1","16/5/2025 T=11:15:36","4.新業街",10,"ON",15,
"Car 1","16/5/2025 T=11:15:36","4.新業街",6,"ON",16,
"Car 1","16/5/2025 T=11:15:36","4.新業街",3,"ON",17,
"Car 1","16/5/2025 T=11:15:37","4.新業街",5,"ON",18,
"Car 1","16/5/2025 T=11:15:37","4.新業街",8,"ON",19,
"Car 1","16/5/2025 T=11:15:37","4.新業街",8,"ON",19,
"Car 1","16/5/2025 T=11:15:37","4.新業街",8,"ON",19,
"Car 1","16/5/2025 T=11:15:37","4.新業街",8,"ON",19,
"Car 1","16/5/2025 T=11:15:37","4.新業街",8,"ON",19,
"Car 1","16/5/2025 T=11:15:38","Off",,,0,"All data cleared"